Wroclaw Bydgoszcz Torun Lublin ZielonaGora Lodz Krakow Warszawa Opole Rzeszow Bialystok Gdansk Katowice Kielce Olsztyn Poznan Szczecin
0 312 398 524 188 161 270 356 98 438 543 556 195 362 515 182 394 
312 0 48 473 282 224 469 305 415 637 493 167 407 356 232 139 259 
398 48 0 429 312 180 440 260 382 469 448 168 363 312 186 168 313 
524 473 429 0 626 303 310 175 466 163 246 510 352 194 384 483 737 
188 282 312 626 0 361 440 454 265 605 642 455 362 506 506 152 214 
161 224 180 303 361 0 277 134 207 302 327 340 199 145 299 205 473 
270 469 440 310 440 277 0 293 188 168 488 594 79 117 504 455 647 
356 305 260 175 454 134 293 0 339 330 198 340 295 177 214 310 566 
98 415 382 466 265 207 188 339 0 355 526 539 113 226 498 283 472 
438 637 469 163 605 302 168 330 355 0 417 625 246 155 527 621 812 
543 493 448 246 642 327 488 198 526 417 0 423 489 372 372 498 754 
556 167 168 510 455 340 594 340 539 625 423 0 520 469 167 310 359 
195 407 363 352 362 199 79 295 113 246 489 520 0 161 479 384 570 
362 356 312 194 506 145 117 177 226 155 372 469 161 0 388 362 618 
515 232 186 384 506 299 504 214 498 527 372 167 479 388 0 361 525 
182 139 168 483 152 205 455 310 283 621 498 310 384 362 361 0 264 
394 259 313 737 214 473 647 566 472 812 754 359 570 618 525 264 0
